created	n_occ	type
2007-12-19	14010523	citizen science
2008-04-01	18449599	citizen science
2008-06-27	16119846	citizen science
2008-10-10	17384401	citizen science
2008-12-17	23122478	citizen science
2009-04-06	23709890	citizen science
2009-06-17	24603007	citizen science
2009-09-25	24623626	citizen science
2009-12-16	28326239	citizen science
2010-04-01	28380069	citizen science
2010-07-26	28392414	citizen science
2010-11-17	49970058	citizen science
2011-02-21	49970135	citizen science
2011-06-10	50319179	citizen science
2011-09-05	51612849	citizen science
2012-01-18	59344056	citizen science
2012-03-26	59223675	citizen science
2012-07-13	97329240	citizen science
2012-10-31	105562900	citizen science
2012-12-11	127922301	citizen science
2013-02-20	137981839	citizen science
2013-05-21	139366092	citizen science
2013-07-09	140092442	citizen science
2013-09-10	169840192	citizen science
2013-12-20	173158170	citizen science
2014-03-28	175746365	citizen science
2014-09-08	234246753	citizen science
2015-01-19	240435914	citizen science
2015-04-09	242022766	citizen science
2015-07-03	244626727	citizen science
2015-10-01	246671248	citizen science
2016-01-04	306905368	citizen science
2016-04-05	309849149	citizen science
2016-07-04	310817925	citizen science
2016-10-07	316073174	citizen science
2016-12-27	383649521	citizen science
2017-04-12	394130228	citizen science
2017-07-24	414550991	citizen science
2017-10-12	447109827	citizen science
2017-12-22	552619699	citizen science
2018-04-09	561269127	citizen science
2018-07-11	570550464	citizen science
2018-09-28	574535768	citizen science
2019-01-01	605399032	citizen science
2019-04-06	811651100	citizen science
2019-07-01	835699186	citizen science
2020-01-01	860155057	citizen science
2020-04-01	866353272	citizen science
2020-07-01	1019355769	citizen science
2020-10-01	1040922802	citizen science
2021-01-01	1057431273	citizen science
2021-04-01	1065066362	citizen science
2021-07-01	1244197355	citizen science
2021-10-01	1251839729	citizen science
2022-01-01	1260581655	citizen science
2022-04-01	1482637137	citizen science
2022-07-01	1491054175	citizen science
2022-10-01	1511269527	citizen science
2023-01-01	1525725852	citizen science
2023-04-01	1536350842	citizen science
2023-05-31	1544179553	citizen science
2023-06-01	1544179553	citizen science
2023-07-01	1548830705	citizen science
2023-08-01	1553127136	citizen science
2023-09-01	1776576280	citizen science
2023-10-01	1783479147	citizen science
2023-11-01	1785430635	citizen science
2023-12-01	1788713014	citizen science
2024-01-01	1818735013	citizen science
2024-02-01	1820988843	citizen science
2024-03-01	1824287454	citizen science
2024-04-01	1828087331	citizen science
2024-05-01	1831526413	citizen science
2024-06-01	1836089934	citizen science
2007-12-19	125604611	all GBIF
2008-04-01	133457722	all GBIF
2008-06-27	143545632	all GBIF
2008-10-10	155676678	all GBIF
2008-12-17	164326769	all GBIF
2009-04-06	175878484	all GBIF
2009-06-17	180856331	all GBIF
2009-09-25	191880572	all GBIF
2009-12-16	197991298	all GBIF
2010-04-01	201964362	all GBIF
2010-07-26	204745892	all GBIF
2010-11-17	269297636	all GBIF
2011-02-21	270676403	all GBIF
2011-06-10	298532396	all GBIF
2011-09-05	310132149	all GBIF
2012-01-18	328243164	all GBIF
2012-03-26	326894413	all GBIF
2012-07-13	379019215	all GBIF
2012-10-31	391409233	all GBIF
2012-12-11	384898302	all GBIF
2013-02-20	398206461	all GBIF
2013-05-21	399388807	all GBIF
2013-07-09	407979319	all GBIF
2013-09-10	418483667	all GBIF
2013-12-20	421420070	all GBIF
2014-03-28	440194340	all GBIF
2014-09-08	507927088	all GBIF
2015-01-19	526639183	all GBIF
2015-04-09	529309551	all GBIF
2015-07-03	543361585	all GBIF
2015-10-01	577537769	all GBIF
2016-01-04	639086198	all GBIF
2016-04-05	649544874	all GBIF
2016-07-04	652999840	all GBIF
2016-10-07	625114971	all GBIF
2016-12-27	703595860	all GBIF
2017-04-12	732876821	all GBIF
2017-07-24	788230159	all GBIF
2017-10-12	852019234	all GBIF
2017-12-22	965558729	all GBIF
2018-04-09	977465438	all GBIF
2018-07-11	1008977631	all GBIF
2018-09-28	1017959163	all GBIF
2019-01-01	1069725344	all GBIF
2019-04-06	1301102896	all GBIF
2019-07-01	1328174302	all GBIF
2019-10-09	1348391306	all GBIF
2020-01-01	1375362509	all GBIF
2020-04-01	1404361560	all GBIF
2020-07-01	1570642438	all GBIF
2020-10-01	1601594172	all GBIF
2021-01-01	1644198113	all GBIF
2021-04-01	1669538089	all GBIF
2021-07-01	1880410377	all GBIF
2021-10-01	1896768084	all GBIF
2022-01-01	1929697408	all GBIF
2022-04-01	2184332128	all GBIF
2022-07-01	2201316409	all GBIF
2022-10-01	2255389562	all GBIF
2023-01-01	2299295786	all GBIF
2023-04-01	2325066195	all GBIF
2023-07-01	2363756679	all GBIF
2023-10-01	2607918192	all GBIF
2024-01-01	2655276915	all GBIF
2024-04-01	2720029068	all GBIF
2024-07-01	3003902395	all GBIF
2024-10-01	3043244961	all GBIF
2025-01-01	3083721320	all GBIF
2025-04-01	3145677101	all GBIF
